OCCUPATION,AI_EXPOSURE_SCORE
"Instructional Coordinators",34
"Insulation Workers, Floor, Ceiling, and Wall",53
"Insulation Workers, Mechanical",46
"Insurance Appraisers, Auto Damage",67
"Insurance Claims and Policy Processing Clerks",76
"Insurance Sales Agents",63
"Insurance Underwriters",74
"Interior Designers",33
"Interpreters and Translators",48
"Interviewers, Except Eligibility and Loan",85
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",49
"Jewelers and Precious Stone and Metal Workers",70
"Judges, Magistrate Judges, and Magistrates",43
"Judicial Law Clerks",48
"Kindergarten Teachers, Except Special Education",36
"Labor Relations Specialists",44
"Laborers and Freight, Stock, and Material Movers, Hand",54
"Landscape Architects",34
"Landscaping and Groundskeeping Workers",45
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",71
"Laundry and Dry-Cleaning Workers",55
"Law Enforcement Workers",35
"Law Teachers, Postsecondary",50
"Lawyers",31
"Lawyers, Judges, and Related Workers",17
"Layout Workers, Metal and Plastic",57
"Legal Secretaries and Administrative Assistants",80
"Legal Support Workers",35
"Legal Support Workers, All Other",53
"Legislators",48
"Librarians and Media Collections Specialists",58
"Librarians, Curators, and Archivists",46
"Library Assistants, Clerical",77
"Library Science Teachers, Postsecondary",54
"Library Technicians",78
"Licensed Practical and Licensed Vocational Nurses",36
"Life Scientists",32
"Life Scientists, All Other",32
"Life, Physical, and Social Science Technicians",35
"Life, Physical, and Social Science Technicians, All Other",60
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",54
"Light Truck Drivers",59
"Lighting Technicians",45
"Loading and Moving Machine Operators, Underground Mining",70
"Loan Interviewers and Clerks",73
"Loan Officers",68
"Locker Room, Coatroom, and Dressing Room Attendants",49
"Locksmiths and Safe Repairers",64
"Locomotive Engineers",61
"Lodging Managers",38
"Log Graders and Scalers",69
"Logging Equipment Operators",57
"Logging Workers, All Other",52
"Logisticians",36
"Machine Feeders and Offbearers",78
"Machinists",51
"Magnetic Resonance Imaging Technologists",42
"Maids and Housekeeping Cleaners",55
"Mail Clerks and Mail Machine Operators, Except Postal Service",72
"Maintenance and Repair Workers, General",49
"Maintenance Workers, Machinery",58
"Makeup Artists, Theatrical and Performance",38
"Management Analysts",39
"Managers, All Other",36
"Manicurists and Pedicurists",61
"Manufactured Building and Mobile Home Installers",36
"Marine Engineers and Naval Architects",33
"Market Research Analysts and Marketing Specialists",54
"Marketing Managers",27
"Marriage and Family Therapists",32
"Massage Therapists",55
"Material Moving Workers",37
"Material Moving Workers, All Other",36
"Material Recording, Scheduling, Dispatching, and Distributing Workers",39
"Materials Engineers",34
"Materials Scientists",35
"Mathematical Science Occupations",31
"Mathematical Science Occupations, All Other",67
"Mathematical Science Teachers, Postsecondary",54
"Mathematicians",24
"Meat, Poultry, and Fish Cutters and Trimmers",57
"Mechanical Door Repairers",55
"Mechanical Drafters",58
"Mechanical Engineering Technologists and Technicians",46
"Mechanical Engineers",32
"Media and Communication Equipment Workers",35
"Media and Communication Equipment Workers, All Other",34
"Media and Communication Workers",34
"Media and Communication Workers, All Other",33
"Medical and Health Services Managers",37
"Medical Appliance Technicians",41
"Medical Assistants",49
"Medical Dosimetrists",38
"Medical Equipment Preparers",58
"Medical Equipment Repairers",42
"Medical Records Specialists",69
"Medical Scientists, Except Epidemiologists",38
"Medical Secretaries and Administrative Assistants",67
"Medical Transcriptionists",75
"Meeting, Convention, and Event Planners",37
"Mental Health and Substance Abuse Social Workers",36
"Merchandise Displayers and Window Trimmers",47
"Metal Workers and Plastic Workers",39
"Metal Workers and Plastic Workers, All Other",61
"Metal-Refining Furnace Operators and Tenders",63
"Meter Readers, Utilities",74
"Microbiologists",40
"Middle School Teachers, Except Special and Career/Technical Education",43
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",78
"Millwrights",46
"Mining and Geological Engineers, Including Mining Safety Engineers",35
"Miscellaneous Assemblers and Fabricators",54
"Miscellaneous Construction and Related Workers",49
"Mixing and Blending Machine Setters, Operators, and Tenders",70
"Mobile Heavy Equipment Mechanics, Except Engines",46
"Model Makers, Metal and Plastic",78
"Model Makers, Wood",68
"Models",68
"Molders, Shapers, and Casters, Except Metal and Plastic",59
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",66
"Morticians, Undertakers, and Funeral Arrangers",44
"Motion Picture Projectionists",66
"Motor Vehicle Operators",36
"Motor Vehicle Operators, All Other",37
"Motorboat Mechanics and Service Technicians",50
"Motorboat Operators",50
"Motorcycle Mechanics",52
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",63
"Museum Technicians and Conservators",50
"Music Directors and Composers",33
"Musical Instrument Repairers and Tuners",55
"Musicians and Singers",39
"Natural Sciences Managers",27
"Network and Computer Systems Administrators",39
"Neurologists",50
"New Accounts Clerks",86
"News Analysts, Reporters, and Journalists",48
"Nuclear Engineers",35
"Nuclear Medicine Technologists",40
"Nuclear Power Reactor Operators",79
"Nuclear Technicians",67
"Nurse Anesthetists",36
"Nurse Midwives",48
"Nurse Practitioners",42
"Nursing Assistants",48
"Nursing Instructors and Teachers, Postsecondary",47
"Obstetricians and Gynecologists",54
"Occupational Health and Safety Specialists",44
"Occupational Health and Safety Specialists and Technicians",26
"Occupational Health and Safety Technicians",46
"Occupational Therapists",28
"Occupational Therapy Aides",43
"Occupational Therapy and Physical Therapist Assistants and Aides",23
"Occupational Therapy Assistants",30
"Office and Administrative Support Workers, All Other",44
"Office Clerks, General",79
"Office Machine Operators, Except Computer",80
"Operating Engineers and Other Construction Equipment Operators",61
"Operations Research Analysts",35
"Operations Specialties Managers",28
"Ophthalmic Laboratory Technicians",58
"Ophthalmic Medical Technicians",36
"Ophthalmologists, Except Pediatric",50
"Opticians, Dispensing",58
"Optometrists",30
"Oral and Maxillofacial Surgeons",36
"Order Clerks",90
"Orderlies",43
"Orthodontists",40
"Orthopedic Surgeons, Except Pediatric",49
"Orthotists and Prosthetists",28
"Other Construction and Related Workers",35
"Other Educational Instruction and Library Occupations",37
"Other Food Preparation and Serving Related Workers",37
"Other Healthcare Practitioners and Technical Occupations",35
"Other Healthcare Support Occupations",36
"Other Installation, Maintenance, and Repair Occupations",35
"Other Management Occupations",31
"Other Office and Administrative Support Workers",44
"Other Personal Care and Service Workers",37
"Other Production Occupations",37
"Other Protective Service Workers",37
"Other Sales and Related Workers",36
"Other Teachers and Instructors",36
"Other Transportation Workers",37
"Outdoor Power Equipment and Other Small Engine Mechanics",63
"Packaging and Filling Machine Operators and Tenders",64
"Packers and Packagers, Hand",51
"Painters, Construction and Maintenance",50
"Painting, Coating, and Decorating Workers",56
"Paper Goods Machine Setters, Operators, and Tenders",54
"Paperhangers",63
"Paralegals and Legal Assistants",69
"Paramedics",37
"Parking Attendants",59
"Parking Enforcement Workers",68
"Parts Salespersons",68
"Passenger Attendants",60
"Patternmakers, Metal and Plastic",76
"Patternmakers, Wood",67
"Paving, Surfacing, and Tamping Equipment Operators",56
"Payroll and Timekeeping Clerks",88
"Pediatric Surgeons",48
"Pediatricians, General",40
"Personal Appearance Workers",37
"Personal Care and Service Workers, All Other",37
"Personal Financial Advisors",52
"Personal Service Managers, All Other",44
"Pest Control Workers",57
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",46
"Petroleum Engineers",36
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",59
"Pharmacists",36
"Pharmacy Aides",59
"Pharmacy Technicians",68
"Philosophy and Religion Teachers, Postsecondary",54
"Phlebotomists",64
"Photographers",41
"Photographic Process Workers and Processing Machine Operators",72
"Physical Scientists",33
"Physical Scientists, All Other",44
"Physical Therapist Aides",54
"Physical Therapist Assistants",33
"Physical Therapists",31
"Physician Assistants",36
"Physicians, All Other",47
"Physicians, Pathologists",54
"Physicists",28
"Physics Teachers, Postsecondary",48
"Pile Driver Operators",43
"Pipelayers",54
"Plant and System Operators",46
"Plant and System Operators, All Other",62
"Plasterers and Stucco Masons",37
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",76
"Plumbers, Pipefitters, and Steamfitters",41
"Podiatrists",28
"Police and Sheriff's Patrol Officers",38
"Political Science Teachers, Postsecondary",53
"Political Scientists",25
"Postal Service Clerks",70
"Postal Service Mail Carriers",68
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",65
"Postmasters and Mail Superintendents",55
"Postsecondary Teachers",22
"Postsecondary Teachers, All Other",22
"Pourers and Casters, Metal",46
"Power Distributors and Dispatchers",57
"Power Plant Operators",69
"Precision Instrument and Equipment Repairers, All Other",51
"Prepress Technicians and Workers",78
"Preschool Teachers, Except Special Education",32
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",36
"Pressers, Textile, Garment, and Related Materials",64
"Print Binding and Finishing Workers",75
"Printing Press Operators",71
"Printing Workers",46
"Private Detectives and Investigators",53
"Probation Officers and Correctional Treatment Specialists",48
"Procurement Clerks",83
"Producers and Directors",37
"Production Workers, All Other",49
"Production, Planning, and Expediting Clerks",67
"Project Management Specialists",36
"Proofreaders and Copy Markers",71
"Property Appraisers and Assessors",49
"Property, Real Estate, and Community Association Managers",59
"Prosthodontists",34
"Protective Service Workers, All Other",61
"Psychiatric Aides",53
"Psychiatric Technicians",32
"Psychiatrists",46
"Psychologists, All Other",32
"Psychology Teachers, Postsecondary",54
"Public Relations Managers",26
"Public Relations Specialists",36
