REFERENCE_DATE,DATA_YEAR,ECONOMIC_SECTION_CODE,ECONOMIC_SECTION,EMPLOYMENT_COUNT
2024-03-31,2024,WZ08-P,Erziehung und Unterricht,1454261
2024-03-31,2024,WZ08-Q,Gesundheits- und Sozialwesen,5398959
2024-03-31,2024,WZ08-R,"Kunst, Unterhaltung und Erholung",308903
2024-03-31,2024,WZ08-S,Erbringung von sonstigen Dienstleistungen,853852
2024-03-31,2024,WZ08-T,Private Haushalte,43876
2024-03-31,2024,WZ08-U,Exterritoriale Organisationen und Körperschaften,16259
2024-06-30,2024,WZ08-A,"Land- und Forstwirtschaft, Fischerei",252940
2024-06-30,2024,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,57616
2024-06-30,2024,WZ08-C,Verarbeitendes Gewerbe,6744437
2024-06-30,2024,WZ08-D,Energieversorgung,280290
2024-06-30,2024,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",279378
2024-06-30,2024,WZ08-F,Baugewerbe,1974642
2024-06-30,2024,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4545586
2024-06-30,2024,WZ08-H,Verkehr und Lagerei,1958419
2024-06-30,2024,WZ08-I,Gastgewerbe,1114349
2024-06-30,2024,WZ08-J,Information und Kommunikation,1348116
2024-06-30,2024,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,979851
2024-06-30,2024,WZ08-L,Grundstücks- und Wohnungswesen,309478
2024-06-30,2024,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2587307
2024-06-30,2024,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2244912
2024-06-30,2024,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2077363
2024-06-30,2024,WZ08-P,Erziehung und Unterricht,1461208
2024-06-30,2024,WZ08-Q,Gesundheits- und Sozialwesen,5394077
2024-06-30,2024,WZ08-R,"Kunst, Unterhaltung und Erholung",311436
2024-06-30,2024,WZ08-S,Erbringung von sonstigen Dienstleistungen,853418
2024-06-30,2024,WZ08-T,Private Haushalte,43652
2024-06-30,2024,WZ08-U,Exterritoriale Organisationen und Körperschaften,16258
2024-09-30,2024,WZ08-A,"Land- und Forstwirtschaft, Fischerei",258763
2024-09-30,2024,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,57667
2024-09-30,2024,WZ08-C,Verarbeitendes Gewerbe,6780246
2024-09-30,2024,WZ08-D,Energieversorgung,288777
2024-09-30,2024,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",283746
2024-09-30,2024,WZ08-F,Baugewerbe,2007381
2024-09-30,2024,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4599017
2024-09-30,2024,WZ08-H,Verkehr und Lagerei,1987425
2024-09-30,2024,WZ08-I,Gastgewerbe,1115757
2024-09-30,2024,WZ08-J,Information und Kommunikation,1358926
2024-09-30,2024,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,1003611
2024-09-30,2024,WZ08-L,Grundstücks- und Wohnungswesen,312878
2024-09-30,2024,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2600156
2024-09-30,2024,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2259382
2024-09-30,2024,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2110798
2024-09-30,2024,WZ08-P,Erziehung und Unterricht,1474161
2024-09-30,2024,WZ08-Q,Gesundheits- und Sozialwesen,5483876
2024-09-30,2024,WZ08-R,"Kunst, Unterhaltung und Erholung",313740
2024-09-30,2024,WZ08-S,Erbringung von sonstigen Dienstleistungen,861747
2024-09-30,2024,WZ08-T,Private Haushalte,43227
2024-09-30,2024,WZ08-U,Exterritoriale Organisationen und Körperschaften,16218
2024-12-31,2024,WZ08-A,"Land- und Forstwirtschaft, Fischerei",227392
2024-12-31,2024,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,56233
2024-12-31,2024,WZ08-C,Verarbeitendes Gewerbe,6711993
2024-12-31,2024,WZ08-D,Energieversorgung,291633
2024-12-31,2024,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",283619
2024-12-31,2024,WZ08-F,Baugewerbe,1956179
2024-12-31,2024,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4586598
2024-12-31,2024,WZ08-H,Verkehr und Lagerei,1998382
2024-12-31,2024,WZ08-I,Gastgewerbe,1080045
2024-12-31,2024,WZ08-J,Information und Kommunikation,1351137
2024-12-31,2024,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,1004032
2024-12-31,2024,WZ08-L,Grundstücks- und Wohnungswesen,312759
2024-12-31,2024,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2598571
2024-12-31,2024,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2193708
2024-12-31,2024,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2121784
2024-12-31,2024,WZ08-P,Erziehung und Unterricht,1486656
2024-12-31,2024,WZ08-Q,Gesundheits- und Sozialwesen,5524066
2024-12-31,2024,WZ08-R,"Kunst, Unterhaltung und Erholung",310285
2024-12-31,2024,WZ08-S,Erbringung von sonstigen Dienstleistungen,862160
2024-12-31,2024,WZ08-T,Private Haushalte,42745
2024-12-31,2024,WZ08-U,Exterritoriale Organisationen und Körperschaften,16171
2025-03-31,2025,WZ08-A,"Land- und Forstwirtschaft, Fischerei",240519
2025-03-31,2025,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,56024
2025-03-31,2025,WZ08-C,Verarbeitendes Gewerbe,6644861
2025-03-31,2025,WZ08-D,Energieversorgung,293141
2025-03-31,2025,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",284107
2025-03-31,2025,WZ08-F,Baugewerbe,1955926
2025-03-31,2025,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4542542
2025-03-31,2025,WZ08-H,Verkehr und Lagerei,1984023
2025-03-31,2025,WZ08-I,Gastgewerbe,1081401
2025-03-31,2025,WZ08-J,Information und Kommunikation,1352336
2025-03-31,2025,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,1002067
2025-03-31,2025,WZ08-L,Grundstücks- und Wohnungswesen,313698
2025-03-31,2025,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2598742
2025-03-31,2025,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2181470
2025-03-31,2025,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2119168
2025-03-31,2025,WZ08-P,Erziehung und Unterricht,1478947
2025-03-31,2025,WZ08-Q,Gesundheits- und Sozialwesen,5527212
2025-03-31,2025,WZ08-R,"Kunst, Unterhaltung und Erholung",310503
2025-03-31,2025,WZ08-S,Erbringung von sonstigen Dienstleistungen,859822
2025-03-31,2025,WZ08-T,Private Haushalte,42715
2025-03-31,2025,WZ08-U,Exterritoriale Organisationen und Körperschaften,15974
2025-06-30,2025,WZ08-A,"Land- und Forstwirtschaft, Fischerei",253365
2025-06-30,2025,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,55825
2025-06-30,2025,WZ08-C,Verarbeitendes Gewerbe,6597260
2025-06-30,2025,WZ08-D,Energieversorgung,294547
2025-06-30,2025,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",284848
2025-06-30,2025,WZ08-F,Baugewerbe,1961803
2025-06-30,2025,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4523370
2025-06-30,2025,WZ08-H,Verkehr und Lagerei,1979486
2025-06-30,2025,WZ08-I,Gastgewerbe,1119348
2025-06-30,2025,WZ08-J,Information und Kommunikation,1343530
2025-06-30,2025,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,1002833
2025-06-30,2025,WZ08-L,Grundstücks- und Wohnungswesen,314494
2025-06-30,2025,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2595151
2025-06-30,2025,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2194983
2025-06-30,2025,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2122326
2025-06-30,2025,WZ08-P,Erziehung und Unterricht,1477479
2025-06-30,2025,WZ08-Q,Gesundheits- und Sozialwesen,5529011
2025-06-30,2025,WZ08-R,"Kunst, Unterhaltung und Erholung",313728
2025-06-30,2025,WZ08-S,Erbringung von sonstigen Dienstleistungen,861496
2025-06-30,2025,WZ08-T,Private Haushalte,42496
2025-06-30,2025,WZ08-U,Exterritoriale Organisationen und Körperschaften,15781
2025-09-30,2025,WZ08-A,"Land- und Forstwirtschaft, Fischerei",259323
2025-09-30,2025,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,56288
2025-09-30,2025,WZ08-C,Verarbeitendes Gewerbe,6609534
2025-09-30,2025,WZ08-D,Energieversorgung,301540
2025-09-30,2025,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",288258
2025-09-30,2025,WZ08-F,Baugewerbe,1997439
2025-09-30,2025,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",4574762
2025-09-30,2025,WZ08-H,Verkehr und Lagerei,2004200
2025-09-30,2025,WZ08-I,Gastgewerbe,1123021
2025-09-30,2025,WZ08-J,Information und Kommunikation,1348018
2025-09-30,2025,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,1020752
2025-09-30,2025,WZ08-L,Grundstücks- und Wohnungswesen,318356
2025-09-30,2025,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",2606284
2025-09-30,2025,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,2208732
2025-09-30,2025,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",2151147
2025-09-30,2025,WZ08-P,Erziehung und Unterricht,1482284
2025-09-30,2025,WZ08-Q,Gesundheits- und Sozialwesen,5618955
2025-09-30,2025,WZ08-R,"Kunst, Unterhaltung und Erholung",317071
2025-09-30,2025,WZ08-S,Erbringung von sonstigen Dienstleistungen,870234
2025-09-30,2025,WZ08-T,Private Haushalte,42082
2025-09-30,2025,WZ08-U,Exterritoriale Organisationen und Körperschaften,15524
